ce-M γ 1 	0.914000 	1.749E-03* 	0.001600
ce-N+ γ 1 	0.075700 	2.174E-03* 	0.000165
γ 2 	0.889000 	1.405E-01 	0.125000
ce-K γ 2 	0.087900 	1.194E-01 	0.010500
ce-L1 γ 2 	0.009670 	1.374E-01 	0.001330
ce-L2 γ 2 	0.000610 	1.377E-01 	0.000084
ce-L3 γ 2 	0.000301 	1.378E-01 	0.000041
ce-M γ 2 	0.001920 	1.400E-01* 	0.000270
ce-N+ γ 2 	0.000371 	1.405E-01* 	0.000052
ce-K γ 3 	0.006910 	1.216E-01 	0.000841
ce-L1 γ 3 	0.001170 	1.396E-01 	0.000163
ce-L2 γ 3 	0.000243 	1.399E-01 	0.000034
ce-L3 γ 3 	0.000740 	1.400E-01 	0.000104
ce-M γ 3 	0.000419 	1.422E-01* 	0.000060
Kα1 X ray 	0.040300 	1.837E-02 	0.000739
Kα2 X ray 	0.021200 	1.825E-02 	0.000386
Kβ1 X ray 	0.006880 	2.062E-02 	0.000142
Auger-KLL 	0.014500 	1.535E-02* 	0.000223
Auger-KLX 	0.005760 	1.777E-02* 	0.000102
Auger-LMM 	0.071000 	2.053E-03* 	0.000146
Auger-LMX 	0.030500 	2.468E-03* 	0.000075
Auger-MXY 	1.110000 	4.090E-04* 	0.000454
